source,title,url,date,author,preview,matched_keywords,category
Construction Dive,"The biggest project decisions occur before construction, says AECOM president",https://www.constructiondive.com/news/Aecom-data-center-lara-poloni-president/830157/,"Mon, 14 Sep 2026 15:35:00 -0400",Sebastian Obando,"Lara Poloni, president at the contractor, talks with Construction Dive about data centers, project risk and construction opportunities.",data center,
Construction Dive,Labor squeeze prompts revised construction workforce strategies,https://www.constructiondive.com/news/labor-squeeze-revised-construction-workforce-strategies/830219/,"Mon, 14 Sep 2026 09:03:00 -0400",Sebastian Obando,"During webinars from ABC and AGC this month, firms talked about ramping up investment in training and workforce development.","workforce, workforce develop",
Construction Dive,Buildots raises $130M as data center projects surge,https://www.constructiondive.com/news/buildots-raises-130m-data-center-projects-surge/830222/,"Mon, 14 Sep 2026 08:45:00 -0400",Matthew Thibault,"The startup, which works with contractors including JE Dunn, Mortenson and Turner Construction parent Hochtief, noted that seven-figure, multiyear contracts with clients are now the norm.",data center,
Construction Dive,Fluctuating material costs are rewriting who wins the bid,https://www.constructiondive.com/spons/fluctuating-material-costs-are-rewriting-who-wins-the-bid/829740/,"Mon, 14 Sep 2026 05:00:00 -0400","Shiva Dhawan, Co-founder and CEO, Attentive.ai",Material costs are outpacing bids. Speed is the new edge.,bid,
Construction Dive,Lessons learned from rebuilding the Pentagon after 9/11,https://www.constructiondive.com/news/lessons-learned-from-rebuilding-the-pentagon-after-911/830175/,"Fri, 11 Sep 2026 14:34:00 -0400",Joe Burns,"The team used creative design, workforce planning and an integrated project delivery process to finish the renovation ahead of schedule, under budget and without disruption to occupants.",workforce,
For Construction Pros,Construction Delays Often Start Before Electrical Work Begins,https://www.forconstructionpros.com/business/business-services/training-education/article/22973587/arrow-electric-construction-delays-often-start-before-electrical-work-begins,"Sun, 13 Sep 2026 11:15:00 -0500",Veselina Lezginov,"Electrical is the trade everyone blames when a job runs late, even though it's usually the last one to close out and the first one to eat the consequences of everything that happened before it. A panel shows up and doesn't fit. A device gets set in the wrong place. Somebody has to cut into finished drywall to re-pull a circuit that should've been right the first time. None of that is really an ele","BIM, bid, bidding, preconstruction, rework",Business
For Construction Pros,Hands-On At PIPELINE 2026,https://www.forconstructionpros.com/equipment/worksite/electric-tools-and-accessories/article/22973059/milwaukee-tool-corp-handson-at-pipeline-2026,"Wed, 09 Sep 2026 04:00:00 -0500",Jonathan Kozlowski,"Buses full of social media personalities throughout the trades come to a stop. As riders depart, a corridor of employees applauds and welcomes everyone. It’s loud. It’s energy. It’s an intense way to start the morning. This is PIPELINE. This is where Milwaukee Tool makes early announcements ahead of the Fall 2026 to early 2027 2027 tradeshow season, allowing attendees to get close and personal wit",bid,Electric Tools & Accessories
For Construction Pros,Construction Safety Programs Expand Focus to Mental Health,https://www.forconstructionpros.com/business/labor-workforce-development/article/22972901/traffic-plan-construction-safety-programs-expand-focus-to-mental-health,"Tue, 08 Sep 2026 05:00:00 -0500",Barbara Brennan,"I’ve worked in construction safety for most of my adult life. Before I became the Director of Risk and Safety at a traffic control company, I spent years overseeing safety for numerous trades in the field. Construction is what I know. My father and three brothers were plumbers. I grew up around crews, tools, and a culture that teaches you to be tough, to push through and to get the job done no mat",digital,Asphalt
For Construction Pros,Lightcast Identifies 135 Skilled-Trade Occupations Amid Labor Shortage,https://www.forconstructionpros.com/business/labor-workforce-development/article/22973201/lightcast-lightcast-identifies-135-skilledtrade-occupations-amid-labor-shortage,"Sun, 06 Sep 2026 06:30:00 -0500",For Construction Pros,"Lightcast has identified 135 occupations that meet its new standardized definition of the skilled trades, providing a framework for tracking workforce demand across industries and regions. The report, “ Defining the Skilled Trades: A Data-Driven Blueprint for the Future ,” defines skilled-trade jobs as hands-on, in-person occupations that do not require a four-year degree but typically require spe","apprentice, data center, estimat, retire, shortage, training program, workforce",Business
Construction Business Owner,Dodge Momentum Index Flat in August,https://www.constructionbusinessowner.com/dodge-momentum-index-flat-in-august/,"Wed, 09 Sep 2026 14:04:30 +0000",CBO Editorial Staff,"BOSTON (Sept. 8, 2026) — The Dodge Momentum Index (DMI), issued by Dodge Construction Network, ticked down 0.4% in August to 282.0 (2000=100) from the downwardly revised July reading of 283.0. Over the month, commercial planning declined 3.0% and institutional planning grew 4.9%. “Strength in planning momentum remained relatively broad-based in August,” said Sarah Martin, director of economic rese",data center,data centers
